,Response
27,"In 2018, Congo, Rep.'s Economic Complexity Index (ECI) ranked 101.0, with an ECI value of -0.7836895. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
28,"In 2018, Colombia's Economic Complexity Index (ECI) ranked 54.0, with an ECI value of 0.1414634. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
29,"In 2018, Costa Rica's Economic Complexity Index (ECI) ranked 51.0, with an ECI value of 0.2097036. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
30,"In 2018, Cuba's Economic Complexity Index (ECI) ranked 100.0, with an ECI value of -0.5850018. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
31,"In 2018, Cyprus's Economic Complexity Index (ECI) ranked 46.0, with an ECI value of 0.5588122. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
32,"In 2018, Czech Republic's Economic Complexity Index (ECI) ranked 8.0, with an ECI value of 1.629571. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
33,"In 2018, Germany's Economic Complexity Index (ECI) ranked 4.0, with an ECI value of 1.91899. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
34,"In 2018, Denmark's Economic Complexity Index (ECI) ranked 24.0, with an ECI value of 1.043726. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
35,"In 2018, Dominican Republic's Economic Complexity Index (ECI) ranked 73.0, with an ECI value of -0.2292451. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
36,"In 2018, Algeria's Economic Complexity Index (ECI) ranked 111.0, with an ECI value of -1.043632. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
37,"In 2018, Ecuador's Economic Complexity Index (ECI) ranked 106.0, with an ECI value of -0.947282. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
38,"In 2018, Egypt, Arab Rep.'s Economic Complexity Index (ECI) ranked 66.0, with an ECI value of -0.1295984. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
39,"In 2018, Spain's Economic Complexity Index (ECI) ranked 32.0, with an ECI value of 0.8142192. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
40,"In 2018, Estonia's Economic Complexity Index (ECI) ranked 26.0, with an ECI value of 1.014534. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
41,"In 2018, Ethiopia's Economic Complexity Index (ECI) ranked 97.0, with an ECI value of -0.7393974. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
42,"In 2018, Finland's Economic Complexity Index (ECI) ranked 11.0, with an ECI value of 1.5338. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
43,"In 2018, France's Economic Complexity Index (ECI) ranked 15.0, with an ECI value of 1.395319. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
44,"In 2018, Gabon's Economic Complexity Index (ECI) ranked 125.0, with an ECI value of -1.478167. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
45,"In 2018, United Kingdom's Economic Complexity Index (ECI) ranked 12.0, with an ECI value of 1.517829. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
46,"In 2018, Georgia's Economic Complexity Index (ECI) ranked 60.0, with an ECI value of 0.0003781932. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
47,"In 2018, Ghana's Economic Complexity Index (ECI) ranked 121.0, with an ECI value of -1.329406. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
48,"In 2018, Guinea's Economic Complexity Index (ECI) ranked 128.0, with an ECI value of -1.727642. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
49,"In 2018, Equatorial Guinea's Economic Complexity Index (ECI) ranked 146.0, with an ECI value of -2.032854. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
50,"In 2018, Greece's Economic Complexity Index (ECI) ranked 48.0, with an ECI value of 0.2704294. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
51,"In 2018, Guatemala's Economic Complexity Index (ECI) ranked 78.0, with an ECI value of -0.4387079. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
52,"In 2018, Hong Kong SAR, China's Economic Complexity Index (ECI) ranked 26.0, with an ECI value of 0.9678818. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
53,"In 2018, Honduras's Economic Complexity Index (ECI) ranked 93.0, with an ECI value of -0.6609174. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
54,"In 2018, Croatia's Economic Complexity Index (ECI) ranked 36.0, with an ECI value of 0.7285867. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
55,"In 2018, Haiti's Economic Complexity Index (ECI) ranked 133.0, with an ECI value of -1.21909. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
56,"In 2018, Hungary's Economic Complexity Index (ECI) ranked 14.0, with an ECI value of 1.449957. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
57,"In 2018, Indonesia's Economic Complexity Index (ECI) ranked 65.0, with an ECI value of -0.107309. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
58,"In 2018, India's Economic Complexity Index (ECI) ranked 43.0, with an ECI value of 0.4812772. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
59,"In 2018, Ireland's Economic Complexity Index (ECI) ranked 18.0, with an ECI value of 1.321661. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
60,"In 2018, Iran, Islamic Rep.'s Economic Complexity Index (ECI) ranked 57.0, with an ECI value of 0.05453747. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
61,"In 2018, Iraq's Economic Complexity Index (ECI) ranked 94.0, with an ECI value of -0.666228. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
62,"In 2018, Israel's Economic Complexity Index (ECI) ranked 20.0, with an ECI value of 1.241597. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
63,"In 2018, Italy's Economic Complexity Index (ECI) ranked 19.0, with an ECI value of 1.311483. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
64,"In 2018, Jamaica's Economic Complexity Index (ECI) ranked 69.0, with an ECI value of -0.1726688. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
65,"In 2018, Jordan's Economic Complexity Index (ECI) ranked 62.0, with an ECI value of -0.05681605. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
66,"In 2018, Japan's Economic Complexity Index (ECI) ranked 1.0, with an ECI value of 2.23723. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
67,"In 2018, Kazakhstan's Economic Complexity Index (ECI) ranked 76.0, with an ECI value of -0.2623815. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
68,"In 2018, Kenya's Economic Complexity Index (ECI) ranked 79.0, with an ECI value of -0.4838324. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
69,"In 2018, Kyrgyz Republic's Economic Complexity Index (ECI) ranked 63.0, with an ECI value of -0.06817493. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
70,"In 2018, Cambodia's Economic Complexity Index (ECI) ranked 110.0, with an ECI value of -1.025803. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
71,"In 2018, Korea, Rep.'s Economic Complexity Index (ECI) ranked 5.0, with an ECI value of 1.888826. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
72,"In 2018, Kuwait's Economic Complexity Index (ECI) ranked 52.0, with an ECI value of 0.1728972. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
73,"In 2018, Lao PDR's Economic Complexity Index (ECI) ranked 109.0, with an ECI value of -1.015015. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
74,"In 2018, Lebanon's Economic Complexity Index (ECI) ranked 49.0, with an ECI value of 0.2668665. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
75,"In 2018, Liberia's Economic Complexity Index (ECI) ranked 124.0, with an ECI value of -1.019449. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
76,"In 2018, Libya's Economic Complexity Index (ECI) ranked 112.0, with an ECI value of -1.077172. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
77,"In 2018, Sri Lanka's Economic Complexity Index (ECI) ranked 87.0, with an ECI value of -0.5956469. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
78,"In 2018, Lesotho's Economic Complexity Index (ECI) ranked 127.0, with an ECI value of -1.047715. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
79,"In 2018, Lithuania's Economic Complexity Index (ECI) ranked 33.0, with an ECI value of 0.8044645. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
80,"In 2018, Latvia's Economic Complexity Index (ECI) ranked 37.0, with an ECI value of 0.8430493. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
81,"In 2018, Morocco's Economic Complexity Index (ECI) ranked 96.0, with an ECI value of -0.6998885. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
82,"In 2018, Moldova's Economic Complexity Index (ECI) ranked 75.0, with an ECI value of -0.2565782. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
83,"In 2018, Madagascar's Economic Complexity Index (ECI) ranked 119.0, with an ECI value of -1.322013. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
84,"In 2018, Mexico's Economic Complexity Index (ECI) ranked 22.0, with an ECI value of 1.113036. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
85,"In 2018, North Macedonia's Economic Complexity Index (ECI) ranked 64.0, with an ECI value of -0.09060179. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
86,"In 2018, Mali's Economic Complexity Index (ECI) ranked 104.0, with an ECI value of -0.8776156. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
87,"In 2018, Myanmar's Economic Complexity Index (ECI) ranked 116.0, with an ECI value of -1.175995. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
88,"In 2018, Mongolia's Economic Complexity Index (ECI) ranked 103.0, with an ECI value of -0.8649805. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
89,"In 2018, Mozambique's Economic Complexity Index (ECI) ranked 118.0, with an ECI value of -1.283418. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
90,"In 2018, Mauritania's Economic Complexity Index (ECI) ranked 113.0, with an ECI value of -1.092105. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
91,"In 2018, Mauritius's Economic Complexity Index (ECI) ranked 85.0, with an ECI value of -0.3095256. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
92,"In 2018, Malawi's Economic Complexity Index (ECI) ranked 95.0, with an ECI value of -0.538637. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
93,"In 2018, Malaysia's Economic Complexity Index (ECI) ranked 25.0, with an ECI value of 1.039672. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
94,"In 2018, Namibia's Economic Complexity Index (ECI) ranked 90.0, with an ECI value of -0.6442797. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
95,"In 2018, Niger's Economic Complexity Index (ECI) ranked 86.0, with an ECI value of -0.5856553. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
96,"In 2018, Nigeria's Economic Complexity Index (ECI) ranked 127.0, with an ECI value of -1.702057. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
97,"In 2018, Nicaragua's Economic Complexity Index (ECI) ranked 115.0, with an ECI value of -1.17208. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
98,"In 2018, Netherlands's Economic Complexity Index (ECI) ranked 21.0, with an ECI value of 1.160958. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
99,"In 2018, Norway's Economic Complexity Index (ECI) ranked 35.0, with an ECI value of 0.7700946. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
100,"In 2018, New Zealand's Economic Complexity Index (ECI) ranked 47.0, with an ECI value of 0.3600089. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
101,"In 2018, Oman's Economic Complexity Index (ECI) ranked 74.0, with an ECI value of -0.2364522. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
102,"In 2018, Pakistan's Economic Complexity Index (ECI) ranked 100.0, with an ECI value of -0.763277. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
103,"In 2018, Panama's Economic Complexity Index (ECI) ranked 53.0, with an ECI value of 0.1456089. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
104,"In 2018, Peru's Economic Complexity Index (ECI) ranked 85.0, with an ECI value of -0.5828029. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
105,"In 2018, Philippines's Economic Complexity Index (ECI) ranked 39.0, with an ECI value of 0.5404794. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
106,"In 2018, Papua New Guinea's Economic Complexity Index (ECI) ranked 129.0, with an ECI value of -2.002042. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
107,"In 2018, Poland's Economic Complexity Index (ECI) ranked 23.0, with an ECI value of 1.093382. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
108,"In 2018, Korea, Dem. People's Rep.'s Economic Complexity Index (ECI) ranked 72.0, with an ECI value of -0.2089481. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
109,"In 2018, Portugal's Economic Complexity Index (ECI) ranked 46.0, with an ECI value of 0.447388. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
110,"In 2018, Paraguay's Economic Complexity Index (ECI) ranked 88.0, with an ECI value of -0.6066006. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
111,"In 2018, West Bank and Gaza's Economic Complexity Index (ECI) ranked 58.0, with an ECI value of 0.2125255. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
112,"In 2018, Qatar's Economic Complexity Index (ECI) ranked 61.0, with an ECI value of -0.03647112. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
113,"In 2018, Romania's Economic Complexity Index (ECI) ranked 28.0, with an ECI value of 0.9282373. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
114,"In 2018, Russian Federation's Economic Complexity Index (ECI) ranked 41.0, with an ECI value of 0.5088345. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
115,"In 2018, Rwanda's Economic Complexity Index (ECI) ranked 107.0, with an ECI value of -0.6772943. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
116,"In 2018, Saudi Arabia's Economic Complexity Index (ECI) ranked 31.0, with an ECI value of 0.8497669. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
117,"In 2018, Sudan's Economic Complexity Index (ECI) ranked 122.0, with an ECI value of -1.385973. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
118,"In 2018, Senegal's Economic Complexity Index (ECI) ranked 89.0, with an ECI value of -0.6142735. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
119,"In 2018, Singapore's Economic Complexity Index (ECI) ranked 6.0, with an ECI value of 1.7292. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
120,"In 2018, El Salvador's Economic Complexity Index (ECI) ranked 67.0, with an ECI value of -0.1363372. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
121,"In 2018, Serbia's Economic Complexity Index (ECI) ranked 37.0, with an ECI value of 0.6020783. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
122,"In 2018, South Sudan's Economic Complexity Index (ECI) ranked 130.0, with an ECI value of -2.058111. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
123,"In 2018, Slovak Republic's Economic Complexity Index (ECI) ranked 16.0, with an ECI value of 1.355796. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
124,"In 2018, Slovenia's Economic Complexity Index (ECI) ranked 13.0, with an ECI value of 1.48138. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
125,"In 2018, Sweden's Economic Complexity Index (ECI) ranked 7.0, with an ECI value of 1.673627. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
126,"In 2018, Eswatini's Economic Complexity Index (ECI) ranked 62.0, with an ECI value of 0.1324687. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
127,"In 2018, Chad's Economic Complexity Index (ECI) ranked 144.0, with an ECI value of -1.823564. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
128,"In 2018, Togo's Economic Complexity Index (ECI) ranked 98.0, with an ECI value of -0.7504555. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
129,"In 2018, Thailand's Economic Complexity Index (ECI) ranked 29.0, with an ECI value of 0.9252247. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
130,"In 2018, Tajikistan's Economic Complexity Index (ECI) ranked 113.0, with an ECI value of -0.7735426. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
131,"In 2018, Turkmenistan's Economic Complexity Index (ECI) ranked 105.0, with an ECI value of -0.8794137. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
132,"In 2018, Trinidad and Tobago's Economic Complexity Index (ECI) ranked 83.0, with an ECI value of -0.2462541. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
133,"In 2018, Tunisia's Economic Complexity Index (ECI) ranked 59.0, with an ECI value of 0.02732295. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
134,"In 2018, Turkey's Economic Complexity Index (ECI) ranked 42.0, with an ECI value of 0.5053858. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
135,"In 2018, Taiwan, China's Economic Complexity Index (ECI) ranked 3.0, with an ECI value of 1.931845. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
136,"In 2018, Tanzania's Economic Complexity Index (ECI) ranked 92.0, with an ECI value of -0.6555483. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
137,"In 2018, Uganda's Economic Complexity Index (ECI) ranked 84.0, with an ECI value of -0.5725886. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
138,"In 2018, Ukraine's Economic Complexity Index (ECI) ranked 40.0, with an ECI value of 0.5123965. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
139,"In 2018, Uruguay's Economic Complexity Index (ECI) ranked 58.0, with an ECI value of 0.03576219. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
140,"In 2018, United States's Economic Complexity Index (ECI) ranked 9.0, with an ECI value of 1.573855. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
141,"In 2018, Uzbekistan's Economic Complexity Index (ECI) ranked 81.0, with an ECI value of -0.534496. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
142,"In 2018, Venezuela, RB's Economic Complexity Index (ECI) ranked 82.0, with an ECI value of -0.5524728. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
143,"In 2018, Vietnam's Economic Complexity Index (ECI) ranked 68.0, with an ECI value of -0.1529038. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
144,"In 2018, Yemen, Rep.'s Economic Complexity Index (ECI) ranked 120.0, with an ECI value of -1.324048. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
145,"In 2018, South Africa's Economic Complexity Index (ECI) ranked 55.0, with an ECI value of 0.1387847. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
146,"In 2018, Zambia's Economic Complexity Index (ECI) ranked 107.0, with an ECI value of -0.9643669. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
147,"In 2018, Zimbabwe's Economic Complexity Index (ECI) ranked 102.0, with an ECI value of -0.7945821. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
148,"In 2019, Afghanistan's Economic Complexity Index (ECI) ranked 110.0, with an ECI value of -1.092009. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
149,"In 2019, Angola's Economic Complexity Index (ECI) ranked 125.0, with an ECI value of -1.462021. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
150,"In 2019, Albania's Economic Complexity Index (ECI) ranked 78.0, with an ECI value of -0.4070297. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
151,"In 2019, United Arab Emirates's Economic Complexity Index (ECI) ranked 51.0, with an ECI value of 0.1852116. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
152,"In 2019, Argentina's Economic Complexity Index (ECI) ranked 54.0, with an ECI value of 0.1258934. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
153,"In 2019, Armenia's Economic Complexity Index (ECI) ranked 76.0, with an ECI value of -0.3456662. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
154,"In 2019, Australia's Economic Complexity Index (ECI) ranked 73.0, with an ECI value of -0.208604. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
155,"In 2019, Austria's Economic Complexity Index (ECI) ranked 10.0, with an ECI value of 1.564045. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
156,"In 2019, Azerbaijan's Economic Complexity Index (ECI) ranked 91.0, with an ECI value of -0.6529437. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
157,"In 2019, Belgium's Economic Complexity Index (ECI) ranked 18.0, with an ECI value of 1.332892. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
158,"In 2019, Benin's Economic Complexity Index (ECI) ranked 94.0, with an ECI value of -0.7127224. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
159,"In 2019, Burkina Faso's Economic Complexity Index (ECI) ranked 124.0, with an ECI value of -1.451934. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
160,"In 2019, Bangladesh's Economic Complexity Index (ECI) ranked 113.0, with an ECI value of -1.132179. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
161,"In 2019, Bulgaria's Economic Complexity Index (ECI) ranked 43.0, with an ECI value of 0.5079013. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
162,"In 2019, Bahrain's Economic Complexity Index (ECI) ranked 49.0, with an ECI value of 0.522082. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
